No.,Constituency,Name,Party,Alliance,Remarks,District
73,Atrauli,Sandeep Kumar Singh,Bharatiya Janata Party,NDA,MOS (I/C),Aligarh 
74,Chharra,Ravendra Pal Singh,Bharatiya Janata Party,NDA,,Aligarh 
75,Koil,Anil Parashar,Bharatiya Janata Party,NDA,,Aligarh 
76,Aligarh,Mukta Raja,Bharatiya Janata Party,NDA,,Aligarh 
77,Iglas (SC),Rajkumar Sahyogi,Bharatiya Janata Party,NDA,,Aligarh 
78,Hathras (SC),Anjula Singh Mahor,Bharatiya Janata Party,NDA,,Hathras 
79,Sadabad,Pradeep Kumar Singh,Rashtriya Lok Dal,SP+,,Hathras 
80,Sikandra Rao,Birendra Singh Rana,Bharatiya Janata Party,NDA,,Hathras 
81,Chhata,Chaudhary Laxmi Narayan Singh,Bharatiya Janata Party,NDA,Cabinet Minister,Mathura 
82,Mant,Rajesh Chaudhary,Bharatiya Janata Party,NDA,,Mathura 
83,Goverdhan,Meghshyam Singh,Bharatiya Janata Party,NDA,,Mathura 
84,Mathura,Shrikant Sharma,Bharatiya Janata Party,NDA,,Mathura 
85,Baldev (SC),Pooran Prakash,Bharatiya Janata Party,NDA,,Mathura 
86,Etmadpur,Dharampal Singh,Bharatiya Janata Party,NDA,,Agra 
87,Agra Cantt. (SC),Girraj Singh Dharmesh,Bharatiya Janata Party,NDA,,Agra 
88,Agra South,Yogendra Upadhyaya,Bharatiya Janata Party,NDA,Cabinet Minister,Agra 
89,Agra North,Purshottam Khandelwal,Bharatiya Janata Party,NDA,,Agra 
90,Agra Rural (SC),Baby Rani Maurya,Bharatiya Janata Party,NDA,Cabinet Minister,Agra 
91,Fatehpur Sikri,Chaudhary Babulal,Bharatiya Janata Party,NDA,,Agra 
92,Kheragarh,Bhagvan Singh Kushwaha,Bharatiya Janata Party,NDA,,Agra 
93,Fatehabad,Chotelal Verma,Bharatiya Janata Party,NDA,,Agra 
94,Bah,Rani Pakshalika Singh,Bharatiya Janata Party,NDA,,Agra 
95,Tundla (SC),Prempal Singh Dhangar,Bharatiya Janata Party,NDA,,Firozabad 
96,Jasrana,Sachin Yadav,Samajwadi Party,SP+,,Firozabad 
97,Firozabad,Manish Asija,Bharatiya Janata Party,NDA,,Firozabad 
98,Shikohabad,Mukesh Verma,Samajwadi Party,SP+,,Firozabad 
99,Sirsaganj,Sarvesh Singh Yadav,Samajwadi Party,SP+,,Firozabad 
100,Kasganj,Devendra Singh Rajput,Bharatiya Janata Party,NDA,,Kasganj 
101,Amanpur,Hariom Verma,Bharatiya Janata Party,NDA,,Kasganj 
102,Patiyali,Nadira Sultan,Samajwadi Party,SP+,,Kasganj 
103,Aliganj,Satyapal Singh Rathore,Bharatiya Janata Party,NDA,,Etah 
104,Etah,Vipin Kumar David,Bharatiya Janata Party,NDA,,Etah 
105,Marhara,Virendra Singh Lodhi,Bharatiya Janata Party,NDA,,Etah 
106,Jalesar (SC),Sanjeev Kumar Diwakar,Bharatiya Janata Party,NDA,,Etah 
107,Mainpuri,Jaiveer Singh,Bharatiya Janata Party,NDA,Cabinet Minister,Mainpuri 
108,Bhongaon,Ram Naresh Agnihotri,Bharatiya Janata Party,NDA,,Mainpuri 
109,Kishni (SC),Brajesh Katheriya,Samajwadi Party,SP+,,Mainpuri 
110,Karhal,Akhilesh Yadav,Samajwadi Party,SP+,Leader of Opposition,Mainpuri 
111,Gunnaur,Ramkhiladi Singh Yadav,Samajwadi Party,SP+,,Sambhal 
112,Bisauli (SC),Ashutosh Maurya,Samajwadi Party,SP+,,Budaun 
113,Sahaswan,Brajesh Yadav,Samajwadi Party,SP+,,Budaun 
114,Bilsi,Harish Chandra Shakya,Bharatiya Janata Party,NDA,,Budaun 
115,Badaun,Mahesh Chandra Gupta,Bharatiya Janata Party,NDA,,Budaun 
116,Shekhupur,Himanshu Yadav,Samajwadi Party,SP+,,Budaun 
117,Dataganj,Rajeev Kumar Singh,Bharatiya Janata Party,NDA,,Budaun 
118,Baheri,Ataur Rehman,Samajwadi Party,SP+,,Bareilly 
119,Meerganj,D.C. Verma,Bharatiya Janata Party,NDA,,Bareilly 
120,Bhojipura,Shazil Islam Ansari,Samajwadi Party,SP+,,Bareilly 
121,Nawabganj,M. P. Arya,Bharatiya Janata Party,NDA,,Bareilly 
122,Faridpur (SC),Shyam Bihari Lal,Bharatiya Janata Party,NDA,,Bareilly 
