No.,Constituency,Name,Party,Alliance,Remarks,District
301,Gaura,Prabhat Verma,Bharatiya Janata Party,NDA,,Gonda 
302,Shohratgarh,Vinay Verma,Apna Dal (Sonelal),NDA,,Siddharthnagar 
303,Kapilvastu (SC),Shyam Dhani Rahi,Bharatiya Janata Party,NDA,,Siddharthnagar 
304,Bansi,Jai Pratap Singh,Bharatiya Janata Party,NDA,,Siddharthnagar 
305,Itwa,Mata Prasad Pandey,Samajwadi Party,SP+,,Siddharthnagar 
306,Domariyaganj,Saiyada Khatoon,Samajwadi Party,SP+,,Siddharthnagar 
307,Harraiya,Ajay Kumar Singh,Bharatiya Janata Party,NDA,,Basti 
308,Kaptanganj,Kavindra Chaudhary,Samajwadi Party,SP+,,Basti 
309,Rudhauli,Rajendra Prasad Chaudhary,Samajwadi Party,SP+,,Basti 
310,Basti Sadar,Mahendra Nath Yadav,Samajwadi Party,SP+,,Basti 
311,Mahadewa (SC),Doodhram,Suheldev Bharatiya Samaj Party,SP+,,Basti 
312,Menhdawal,Anil Kumar Tripathi,NISHAD Party,NDA,,Sant Kabir Nagar 
313,Khalilabad,Ankur Raj Tiwari,Bharatiya Janata Party,NDA,,Sant Kabir Nagar 
314,Dhanghata (SC),Ganesh Chandra Chauhan,Bharatiya Janata Party,NDA,,Sant Kabir Nagar 
315,Pharenda,Virendra Chaudhary,Indian National Congress,UPA,,Maharajganj 
316,Nautanwa,Rishi Tripathi,NISHAD Party,NDA,,Maharajganj 
317,Siswa,Prem Sagar Patel,Bharatiya Janata Party,NDA,,Maharajganj 
318,Maharajganj (SC),Jai Mangal Kanojiya,Bharatiya Janata Party,NDA,,Maharajganj 
319,Paniyara,Gyanendra Singh,Bharatiya Janata Party,NDA,,Maharajganj 
320,Caimpiyarganj,Fateh Bahadur Singh,Bharatiya Janata Party,NDA,,Gorakhpur 
321,Pipraich,Mahendra Pal Singh,Bharatiya Janata Party,NDA,,Gorakhpur 
322,Gorakhpur Urban,Yogi Adityanath,Bharatiya Janata Party,NDA,"Leader of the House
(Chief Minister)",Gorakhpur 
323,Gorakhpur Rural,Bipin Singh,Bharatiya Janata Party,NDA,,Gorakhpur 
324,Sahajanwa,Pradeep Shukla,Bharatiya Janata Party,NDA,,Gorakhpur 
325,Khajani (SC),Sriram Chauhan,Bharatiya Janata Party,NDA,,Gorakhpur 
326,Chauri-Chaura,Sarvan Kumar Nishad,Bharatiya Janata Party,NDA,,Gorakhpur 
327,Bansgaon (SC),Vimlesh Paswan,Bharatiya Janata Party,NDA,,Gorakhpur 
328,Chillupar,Rajesh Tripathi,Bharatiya Janata Party,NDA,,Gorakhpur 
329,Khadda,Viveka Nand Pandey,NISHAD Party,NDA,,Kushinagar 
330,Padrauna,Manish Jaiswal,Bharatiya Janata Party,NDA,,Kushinagar 
331,Tamkuhi Raj,Asim Kumar,Bharatiya Janata Party,NDA,,Kushinagar 
332,Fazilnagar,Surendra Kumar Kushwaha,Bharatiya Janata Party,NDA,,Kushinagar 
333,Kushinagar,Panchanand Pathak,Bharatiya Janata Party,NDA,,Kushinagar 
334,Hata,Mohan Verma,Bharatiya Janata Party,NDA,,Kushinagar 
335,Ramkola (SC),Vinay Prakash Gond,Bharatiya Janata Party,NDA,,Kushinagar 
336,Rudrapur,Jai Prakash Nishad,Bharatiya Janata Party,NDA,,Deoria 
337,Deoria,Shalabh Mani Tripathi,Bharatiya Janata Party,NDA,,Deoria 
338,Pathardeva,Surya Pratap Shahi,Bharatiya Janata Party,NDA,Cabinet Minister,Deoria 
339,Rampur Karkhana,Surendra Chaurasia,Bharatiya Janata Party,NDA,,Deoria 
340,Bhatpar Rani,Sabhakunwar Kushwaha,Bharatiya Janata Party,NDA,,Deoria 
341,Salempur (SC),Vijaylaxmi Gautam,Bharatiya Janata Party,NDA,MOS,Deoria 
342,Barhaj,Deepak Mishra,Bharatiya Janata Party,NDA,,Deoria 
343,Atrauliya,Sangram Yadav,Samajwadi Party,SP+,,Azamgarh 
344,Gopalpur,Nafees Ahmad,Samajwadi Party,SP+,,Azamgarh 
345,Sagri,Hriday Narayan Singh Patel,Samajwadi Party,SP+,,Azamgarh 
346,Mubarakpur,Akhilesh Yadav,Samajwadi Party,SP+,,Azamgarh 
347,Azamgarh,Durga Prasad Yadav,Samajwadi Party,SP+,,Azamgarh 
348,Nizamabad,Alambadi,Samajwadi Party,SP+,,Azamgarh 
349,Phoolpur Pawai,Ramakant Yadav,Samajwadi Party,SP+,,Azamgarh 
350,Didarganj,Kamalkant Rajbhar,Samajwadi Party,SP+,,Azamgarh 
351,Lalganj (SC),Bechai Saroj,Samajwadi Party,SP+,,Azamgarh 
352,Mehnagar (SC),Puja Saroj,Samajwadi Party,SP+,,Azamgarh 
353,Madhuban,Ram Vilash Chauhan,Bharatiya Janata Party,NDA,,Mau 
354,Ghosi,Dara Singh Chauhan,Samajwadi Party,SP+,,Mau 
355,Muhammadabad-Gohna (SC),Rajendra Kumar,Samajwadi Party,SP+,,Mau 
356,Mau,Abbas Ansari,Suheldev Bharatiya Samaj Party,SP+,,Mau 
357,Belthara Road (SC),Hansu Ram,Suheldev Bharatiya Samaj Party,SP+,,Ballia 
358,Rasara,Umashankar Singh,Bahujan Samaj Party,BSP,,Ballia 
359,Sikanderpur,Mohammed Ziauddin Rizvi,Samajwadi Party,SP+,,Ballia 
360,Phephana,Sangram Singh,Samajwadi Party,SP+,,Ballia 
361,Ballia Nagar,Daya Shankar Singh,Bharatiya Janata Party,NDA,MOS (I/C),Ballia 
362,Bansdih,Ketakee Singh,Bharatiya Janata Party,NDA,,Ballia 
363,Bairia,Jai Prakash Anchal,Samajwadi Party,SP+,,Ballia 
364,Badlapur,Ramesh Chandra Mishra,Bharatiya Janata Party,NDA,,Jaunpur 
365,Shahganj,Ramesh Singh,NISHAD Party,NDA,,Jaunpur 
366,Jaunpur,Girish Chandra Yadav,Bharatiya Janata Party,NDA,MOS (I/C),Jaunpur 
367,Malhani,Lucky Yadav,Samajwadi Party,SP+,,Jaunpur 
368,Mungra Badshahpur,Pankaj Patel,Samajwadi Party,SP+,,Jaunpur 
369,Machhlishahr (SC),Ragini Sonkar,Samajwadi Party,SP+,,Jaunpur 
370,Mariyahu,R.K. Patel,Apna Dal (Sonelal),NDA,,Jaunpur 
371,Zafrabad,Jagdish Narayan Rai,Suheldev Bharatiya Samaj Party,SP+,,Jaunpur 
372,Kerakat (SC),Tufani Saroj,Samajwadi Party,SP+,,Jaunpur 
373,Jakhanian (SC),Bedi Ram,Suheldev Bharatiya Samaj Party,SP+,,Ghazipur 
374,Saidpur (SC),Ankit Bharti,Samajwadi Party,SP+,,Ghazipur 
375,Ghazipur Sadar,Jai Kishan Sahu,Samajwadi Party,SP+,,Ghazipur 
376,Jangipur,Virendra Kumar Yadav,Samajwadi Party,SP+,,Ghazipur 
377,Zahoorabad,Om Prakash Rajbhar,Suheldev Bharatiya Samaj Party,SP+,Leader (SBSP),Ghazipur 
378,Mohammadabad,Suhaib Ansari,Samajwadi Party,SP+,,Ghazipur 
379,Zamania,Om Prakash Singh,Samajwadi Party,SP+,,Ghazipur 
380,Mughalsarai,Ramesh Jaiswal,Bharatiya Janata Party,NDA,,Chandauli 
381,Sakaldiha,Prabhunarayan Yadav,Samajwadi Party,SP+,,Chandauli 
382,Saiyadraja,Sushil Singh,Bharatiya Janata Party,NDA,,Chandauli 
383,Chakia (SC),Kailash Kharvar,Bharatiya Janata Party,NDA,,Chandauli 
384,Pindra,Avadhesh Singh,Bharatiya Janata Party,NDA,,Varanasi 
385,Ajagara (SC),Tribhuvan Ram,Bharatiya Janata Party,NDA,,Varanasi 
386,Shivpur,Anil Rajbhar,Bharatiya Janata Party,NDA,Cabinet Minister,Varanasi 
387,Rohaniya,Sunil Patel,Apna Dal (Sonelal),NDA,,Varanasi 
388,Varanasi North,Ravindra Jaiswal,Bharatiya Janata Party,NDA,MOS (I/C),Varanasi 
389,Varanasi South,Neelkanth Tiwari,Bharatiya Janata Party,NDA,,Varanasi 
390,Varanasi Cantonment,Saurabh Srivastava,Bharatiya Janata Party,NDA,,Varanasi 
391,Sevapuri,Neel Ratan Singh Patel Neelu,Bharatiya Janata Party,NDA,,Varanasi 
392,Bhadohi,Zahid Beg,Samajwadi Party,SP+,,Bhadohi 
393,Gyanpur,Vipul Dubey,NISHAD Party,NDA,,Bhadohi 
394,Aurai (SC),Dinanath Bhaskar,Bharatiya Janata Party,NDA,,Bhadohi 
395,Chhanbey (SC),Rahul Prakash Kol,Apna Dal (Sonelal),NDA,,Mirzapur 
396,Mirzapur,Ratnakar Mishra,Bharatiya Janata Party,NDA,,Mirzapur 
397,Majhawan,Vinod Kumar Bind,NISHAD Party,NDA,,Mirzapur 
398,Chunar,Anurag Singh,Bharatiya Janata Party,NDA,,Mirzapur 
399,Marihan,Rama Shankar Singh,Bharatiya Janata Party,NDA,,Mirzapur 
400,Ghorawal,Anil Kumar Maurya,Bharatiya Janata Party,NDA,,Sonbhadra 
401,Robertsganj,Bhupesh Chaubey,Bharatiya Janata Party,NDA,,Sonbhadra 
402,Obra (ST),Sanjiv Kumar Gond,Bharatiya Janata Party,NDA,MOS,Sonbhadra 
403,Duddhi (ST),Ramdular Gaur,Bharatiya Janata Party,NDA,,Sonbhadra 
