Constituency,Constituency number
SriNagar,140
Suar,34
Sultanpur,188
Syana,66
TamkuhiRaj,331
Tanda,278
Tarabganj,299
Thakurdwara,26
ThanaBhawan,9
Tilhar,133
Tiloi,178
Tindwari,232
Tirwa,197
Tulsipur,291
Tundla,95
Unchahar,183
Unnao,165
Utraula,293
VaranasiCantt.,390
VaranasiNorth,388
VaranasiSouth,389
VishwanathGanj,247
Zafrabad,371
Zahoorabad,377
Zaidpur,269
Zamania,379
